nr.,book,starts on line,ends on line,speaker,speech/this speaker,mortal/god,anonymous?,disguise?,length,dialogue?,addressee,battle exhortation (ch. 2)
445,17,327,332,Apollo,11 of 18,god,,Periphas,6,single speech,Aeneas,type 2: god to mortals
446,17,335,341,Aeneas,4 of 6,mortal,,,7,single speech,Trojans,type 1: general to troops
447,17,415,419,Someone,1 of 1,mortal,yes,,5,single speech,Greeks,type 4: other
448,17,421,422,Someone,1 of 1,mortal,yes,,2,single speech,Trojans,type 4: other
449,17,443,455,Zeus,28 of 39,god,,,13,single speech,Horses,
450,17,469,473,Alcimedon,1 of 1,mortal,,,5,first part of dialogue,Automedon,
451,17,475,480,Automedon,1 of 4,mortal,,,6,second part of dialogue,Alcimedon,
452,17,485,490,Hector,39 of 49,mortal,,,6,single speech,Aeneas,
453,17,501,506,Automedon,2 of 4,mortal,,,6,third part of dialogue,Alcimedon,
454,17,508,515,Automedon,3 of 4,mortal,,,8,single speech,"Aias, Aias and Menelaos",
455,17,538,539,Automedon,4 of 4,mortal,,,2,soliloquy,himself,
456,17,556,559,Athena,14 of 20,god,,Phoenix,4,first part of dialogue,Menelaos,type 2: god to mortals
457,17,561,566,Menelaos,15 of 22,mortal,,,6,second part of dialogue,Phoinix/Athena,
458,17,586,590,Apollo,12 of 18,god,,Phaenops,5,single speech,Hector,type 2: god to mortals
459,17,622,623,Meriones,5 of 5,mortal,,,2,single speech,Idomeneus,
460,17,629,647,Aias (son of Telamon),15 of 19,mortal,,,19,first part of dialogue,Greeks,
461,17,652,655,Aias (son of Telamon),16 of 19,mortal,,,4,second part of dialogue,Menelaos,type 4: other
462,17,669,672,Menelaos,16 of 22,mortal,,,4,third part of dialogue,"Aias, Aias and Meriones",type 4: other
463,17,685,693,Menelaos,17 of 22,mortal,,,9,single speech,Antilochus,
464,17,708,714,Menelaos,18 of 22,mortal,,,7,fourth part of dialogue,Aias and Aias,
465,17,716,721,Aias (son of Telamon),17 of 19,mortal,,,6,fifth part of dialogue,Menelaos,
466,18,6,14,Achilles,23 of 87,mortal,,,9,soliloquy,himself,
467,18,18,21,Antilochus,1 of 5,mortal,,,4,single speech,Achilles,
468,18,52,64,Thetis,5 of 14,god,,,13,single speech,Nereids,
469,18,73,77,Thetis,6 of 14,god,,,5,first part of dialogue,Achilles,
470,18,79,93,Achilles,24 of 87,mortal,,,15,second part of dialogue,Thetis,
471,18,95,96,Thetis,7 of 14,god,,,2,third part of dialogue,Achilles,
472,18,98,126,Achilles,25 of 87,mortal,,,29,fourth part of dialogue,Thetis,
473,18,128,137,Thetis,8 of 14,god,,,10,fifth part of dialogue,Achilles,
474,18,140,144,Thetis,9 of 14,god,,,5,single speech,Nereids,
475,18,170,180,Iris,7 of 12,god,,,11,first part of dialogue,Achilles,type 2: god to mortals
476,18,182,182,Achilles,26 of 87,mortal,,,1,second part of dialogue,Iris,
477,18,184,186,Iris,8 of 12,god,,,3,third part of dialogue,Achilles,
478,18,188,195,Achilles,27 of 87,mortal,,,8,fourth part of dialogue,Iris,
479,18,197,201,Iris,9 of 12,god,,,5,fifth part of dialogue,Achilles,
480,18,254,283,Polydamas,5 of 5,mortal,,,30,first part of dialogue,Hector,
481,18,285,309,Hector,40 of 49,mortal,,,25,second part of dialogue,Polydamas,
482,18,324,342,Achilles,28 of 87,mortal,,,19,soliloquy,himself,
483,18,357,359,Zeus,29 of 39,god,,,3,first part of dialogue,Hera,
484,18,361,367,Hera,24 of 31,god,,,7,second part of dialogue,Zeus,
485,18,385,387,Charis,1 of 2,god,,,3,first part of dialogue,Thetis,
486,18,392,392,Charis,2 of 2,god,,,1,second part of dialogue,Hephaestus,
487,18,394,409,Hephaestus,3 of 5,god,,,16,third part of dialogue,Charis,
488,18,424,427,Hephaestus,4 of 5,god,,,4,fourth part of dialogue,Thetis,
489,18,429,461,Thetis,10 of 14,god,,,33,fifth part of dialogue,Hephaestus,
490,18,463,467,Hephaestus,5 of 5,god,,,5,sixth part of dialogue,Thetis,
491,19,8,11,Thetis,11 of 14,god,,,4,first part of dialogue,Achilles,
492,19,21,27,Achilles,29 of 87,mortal,,,7,second part of dialogue,Thetis,
493,19,29,36,Thetis,12 of 14,god,,,8,third part of dialogue,Achilles,
494,19,56,73,Achilles,30 of 87,mortal,,,18,first part of dialogue,Agamemnon,
495,19,78,144,Agamemnon,44 of 47,mortal,,,67,second part of dialogue,Greeks,
496,19,146,153,Achilles,31 of 87,mortal,,,8,third part of dialogue,Agamemnon,type 4: other
497,19,155,183,Odysseus,25 of 27,mortal,,,29,fourth part of dialogue,Greeks,
498,19,185,197,Agamemnon,45 of 47,mortal,,,13,fifth part of dialogue,Odysseus,
499,19,199,214,Achilles,32 of 87,mortal,,,16,sixth part of dialogue,Agamemnon,
500,19,216,237,Odysseus,26 of 27,mortal,,,22,seventh part of dialogue,Achilles,
501,19,258,265,Agamemnon,46 of 47,mortal,,,8,eighth part of dialogue,Zeus (prayer),
502,19,270,275,Achilles,33 of 87,mortal,,,6,ninth part of dialogue,Zeus (prayer),
503,19,287,300,Briseis,1 of 1,mortal,,,14,soliloquy,Patroclus,
504,19,305,308,Achilles,34 of 87,mortal,,,4,single speech,Greeks,
505,19,315,337,Achilles,35 of 87,mortal,,,23,soliloquy,Patroclus,
506,19,342,348,Zeus,30 of 39,god,,,7,single speech,Athena,
507,19,400,403,Achilles,36 of 87,mortal,,,4,first part of dialogue,Horses,
508,19,408,417,horses,1 of 1,animals,yes,,10,second part of dialogue,Achilles,
509,19,420,423,Achilles,37 of 87,mortal,,,4,third part of dialogue,Horses,
510,20,16,18,Poseidon,11 of 16,god,,,3,first part of dialogue,Zeus,
511,20,20,30,Zeus,31 of 39,god,,,11,second part of dialogue,Poseidon,exhortative?
512,20,83,85,Apollo,13 of 18,god,,Lycaon,3,first part of dialogue,Aeneas,type 2: god to mortals
513,20,87,102,Aeneas,5 of 6,mortal,,,16,second part of dialogue,Apollo/Lycaon,
514,20,104,109,Apollo,14 of 18,god,,Lycaon,6,third part of dialogue,Aeneas,type 2: god to mortals
515,20,115,131,Hera,25 of 31,god,,,17,first part of dialogue,Athena and Poseidon,
516,20,133,143,Poseidon,12 of 16,god,,,11,second part of dialogue,Hera,
517,20,178,198,Achilles,38 of 87,mortal,,,21,first part of dialogue,Aeneas,
518,20,200,258,Aeneas,6 of 6,mortal,,,59,second part of dialogue,Achilles,
519,20,293,308,Poseidon,13 of 16,god,,,16,first part of dialogue,gods,
520,20,310,317,Hera,26 of 31,god,,,8,second part of dialogue,Poseidon,
521,20,332,339,Poseidon,14 of 16,god,,,8,single speech,Aeneas,
522,20,344,352,Achilles,39 of 87,mortal,,,9,soliloquy,himself,
523,20,354,363,Achilles,40 of 87,mortal,,,10,single speech,Greeks,type 1: general to troops
524,20,366,372,Hector,41 of 49,mortal,,,7,single speech,Trojans,type 1: general to troops
525,20,376,378,Apollo,15 of 18,god,,,3,single speech,Hector,
526,20,389,392,Achilles,41 of 87,mortal,,,4,single speech,Iphition,
527,20,425,427,Achilles,42 of 87,mortal,,,3,soliloquy,himself,
528,20,429,429,Achilles,43 of 87,mortal,,,1,first part of dialogue,Hector,
529,20,431,437,Hector,42 of 49,mortal,,,7,second part of dialogue,Achilles,
530,20,449,454,Achilles,44 of 87,mortal,,,6,third part of dialogue,Hector,
531,21,54,63,Achilles,45 of 87,mortal,,,10,first part of dialogue,Lycaon,
532,21,74,96,Lycaon,1 of 1,mortal,,,23,second part of dialogue,Achilles,
533,21,99,113,Achilles,46 of 87,mortal,,,15,third part of dialogue,Lycaon,
534,21,122,135,Achilles,47 of 87,mortal,,,14,fourth part of dialogue,Lycaon,
535,21,150,151,Achilles,48 of 87,mortal,,,2,first part of dialogue,Asteropaeus,
536,21,153,160,Asteropaeus,1 of 1,mortal,,,8,second part of dialogue,Achilles,
537,21,184,199,Achilles,49 of 87,mortal,,,16,third part of dialogue,Asteropaeus,
538,21,214,221,Scamander,1 of 5,god,,,8,first part of dialogue,Achilles,
539,21,223,226,Achilles,50 of 87,mortal,,,4,second part of dialogue,Scamander,
540,21,229,232,Scamander,2 of 5,god,,,4,single speech,Apollo,
541,21,273,283,Achilles,51 of 87,mortal,,,11,first part of dialogue,Zeus (prayer),
542,21,288,297,Poseidon,15 of 16,god,,,10,second part of dialogue,Achilles,
543,21,308,323,Scamander,3 of 5,god,,,16,single speech,Simoeis,also in Fingerle's Kampfaurufe
544,21,331,341,Hera,27 of 31,god,,,11,single speech,Hephaestus,
545,21,357,360,Scamander,4 of 5,god,,,4,single speech,Hephaestus,
546,21,369,376,Scamander,5 of 5,god,,,8,single speech,Hera,
547,21,379,380,Hera,28 of 31,god,,,2,single speech,Hephaestus,
548,21,394,399,Ares,4 of 4,god,,,6,first part of dialogue,Athena,
549,21,410,414,Athena,15 of 20,god,,,5,second part of dialogue,Ares,
550,21,420,422,Hera,29 of 31,god,,,3,single speech,Athena,type 2: god to mortals
551,21,428,433,Athena,16 of 20,god,,,6,single speech,Ares and Aphrodite,
552,21,436,460,Poseidon,16 of 16,god,,,25,first part of dialogue,Apollo,
553,21,462,467,Apollo,16 of 18,god,,,6,second part of dialogue,Poseidon,
554,21,472,477,Artemis,1 of 2,god,,,6,third part of dialogue,Apollo,
555,21,481,488,Hera,30 of 31,god,,,8,fourth part of dialogue,Artemis,
556,21,498,501,Hermes,1 of 8,god,,,4,single speech,Leto,
557,21,509,510,Zeus,32 of 39,god,,,2,first part of dialogue,Artemis,
558,21,512,513,Artemis,2 of 2,god,,,2,second part of dialogue,Zeus,
559,21,531,536,Priamus,7 of 25,mortal,,,6,single speech,Trojans,
560,21,553,570,Agenor,1 of 2,mortal,,,18,soliloquy,himself,
561,21,583,589,Agenor,2 of 2,mortal,,,7,single speech,Achilles,
562,22,8,13,Apollo,17 of 18,god,,,6,first part of dialogue,Achilles,
563,22,15,20,Achilles,52 of 87,mortal,,,6,second part of dialogue,Apollo,
564,22,38,76,Priamus,8 of 25,mortal,,,39,first part of dialogue,Hector,
565,22,82,89,Hecabe,2 of 6,mortal,,,8,second part of dialogue,Hector,
566,22,99,130,Hector,43 of 49,mortal,,,32,soliloquy,himself,
567,22,168,176,Zeus,33 of 39,god,,,9,first part of dialogue,gods,
568,22,178,181,Athena,17 of 20,god,,,4,second part of dialogue,Zeus,
569,22,183,185,Zeus,34 of 39,god,,,3,third part of dialogue,Athena,
570,22,216,223,Athena,18 of 20,god,,,8,single speech,Achilles,type 2: god to mortals
571,22,229,231,Athena,19 of 20,god,,Deiphobus,3,first part of dialogue,Hector,type 2: god to mortals
572,22,233,237,Hector,44 of 49,mortal,,,5,second part of dialogue,Athena/Deiphobus,
573,22,239,246,Athena,20 of 20,god,,Deiphobus,8,third part of dialogue,Hector,type 2: god to mortals
574,22,250,259,Hector,45 of 49,mortal,,,10,first part of dialogue,Achilles,
575,22,261,272,Achilles,53 of 87,mortal,,,12,second part of dialogue,Hector,
576,22,279,288,Hector,46 of 49,mortal,,,10,third part of dialogue,Achilles,
577,22,297,305,Hector,47 of 49,mortal,,,9,soliloquy,himself,
578,22,331,336,Achilles,54 of 87,mortal,,,6,fourth part of dialogue,Hector,
579,22,338,343,Hector,48 of 49,mortal,,,6,fifth part of dialogue,Achilles,
580,22,345,354,Achilles,55 of 87,mortal,,,10,sixth part of dialogue,Hector,
581,22,356,360,Hector,49 of 49,mortal,,,5,seventh part of dialogue,Achilles,
582,22,365,366,Achilles,56 of 87,mortal,,,2,eighth part of dialogue,Hector,
583,22,373,374,Someone,1 of 1,mortal,yes,,2,single speech,Greeks,
584,22,378,394,Achilles,57 of 87,mortal,,,17,single speech,Greeks,type 1: general to troops
585,22,416,428,Priamus,9 of 25,mortal,,,13,single speech,Trojans,
586,22,431,436,Hecabe,3 of 6,mortal,,,6,soliloquy,herself,
587,22,450,459,Andromache,2 of 4,mortal,,,10,single speech,servants,
588,22,477,514,Andromache,3 of 4,mortal,,,38,soliloquy,herself,
589,23,6,11,Achilles,58 of 87,mortal,,,6,single speech,Myrmidons,
590,23,19,23,Achilles,59 of 87,mortal,,,5,soliloquy,Patroclus,
591,23,43,53,Achilles,60 of 87,mortal,,,11,single speech,Agamemnon,
592,23,69,92,Patroclus,12 of 12,mortal,,,24,first part of dialogue,Achilles,
593,23,94,98,Achilles,61 of 87,mortal,,,5,second part of dialogue,Patroclus,
594,23,103,107,Achilles,62 of 87,mortal,,,5,soliloquy,himself,
595,23,144,151,Achilles,63 of 87,mortal,,,8,soliloquy,Spercheius,
596,23,156,160,Achilles,64 of 87,mortal,,,5,single speech,Agamemnon,
597,23,179,183,Achilles,65 of 87,mortal,,,5,soliloquy,Patroclus,
598,23,205,211,Iris,10 of 12,god,,,7,single speech,winds,
599,23,236,248,Achilles,66 of 87,mortal,,,13,single speech,Agamemnon,
600,23,272,286,Achilles,67 of 87,mortal,,,15,single speech,Greeks,
601,23,306,348,Nestor,32 of 33,mortal,,,43,single speech,Antilochus,
602,23,403,416,Antilochus,2 of 5,mortal,,,14,single speech,Horses,
603,23,426,428,Agamemnon,47 of 47,mortal,,,3,single speech,Antilochus,
604,23,439,441,Menelaos,19 of 22,mortal,,,3,single speech,Antilochus,
605,23,443,445,Menelaos,20 of 22,mortal,,,3,single speech,Horses,
606,23,457,472,Idomeneus,11 of 12,mortal,,,16,first part of dialogue,Greeks,
607,23,474,481,Aias (son of Oileus),2 of 4,mortal,,,8,second part of dialogue,Idomeneus,
608,23,483,487,Idomeneus,12 of 12,mortal,,,5,third part of dialogue,Aias (son of Oileus),
609,23,492,498,Achilles,68 of 87,mortal,,,7,fourth part of dialogue,Aias (son of Oileus) and Idomeneus,
610,23,536,538,Achilles,69 of 87,mortal,,,3,first part of dialogue,Greeks,
611,23,543,554,Antilochus,3 of 5,mortal,,,12,second part of dialogue,Achilles,
612,23,558,562,Achilles,70 of 87,mortal,,,5,third part of dialogue,Antilochus,
613,23,570,585,Menelaos,21 of 22,mortal,,,16,fourth part of dialogue,Antilochus,
614,23,587,595,Antilochus,4 of 5,mortal,,,9,fifth part of dialogue,Menelaos,
615,23,602,611,Menelaos,22 of 22,mortal,,,10,sixth part of dialogue,Antilochus,
616,23,618,623,Achilles,71 of 87,mortal,,,6,seventh part of dialogue,Nestor,
617,23,626,650,Nestor,33 of 33,mortal,,,25,eighth part of dialogue,Achilles,
618,23,658,663,Achilles,72 of 87,mortal,,,6,first part of dialogue,Greeks,
619,23,667,675,Epeius,1 of 1,mortal,,,9,second part of dialogue,Greeks,
620,23,707,707,Achilles,73 of 87,mortal,,,1,single speech,Greeks,
621,23,723,724,Aias (son of Telamon),18 of 19,mortal,,,2,single speech,Odysseus,
622,23,735,737,Achilles,74 of 87,mortal,,,3,single speech,Aias and Odysseus,
623,23,753,753,Achilles,75 of 87,mortal,,,1,single speech,Greeks,
624,23,770,770,Odysseus,27 of 27,mortal,,,1,soliloquy,Athena (prayer),
625,23,782,783,Aias (son of Oileus),3 of 4,mortal,,,2,first part of dialogue,Greeks,
626,23,787,792,Antilochus,5 of 5,mortal,,,6,second part of dialogue,Greeks,
627,23,795,796,Achilles,76 of 87,mortal,,,2,third part of dialogue,Antilochus,
628,23,802,810,Achilles,77 of 87,mortal,,,9,single speech,Greeks,
629,23,831,835,Achilles,78 of 87,mortal,,,5,single speech,Greeks,
630,23,855,858,Achilles,79 of 87,mortal,,,4,single speech,Greeks,
631,23,890,894,Achilles,80 of 87,mortal,,,5,single speech,Agamemnon,
632,24,33,54,Apollo,18 of 18,god,,,22,first part of dialogue,gods,
633,24,56,63,Hera,31 of 31,god,,,8,second part of dialogue,Apollo,
634,24,65,76,Zeus,35 of 39,god,,,12,third part of dialogue,Hera,
635,24,88,88,Iris,11 of 12,god,,,1,first part of dialogue,Thetis,
636,24,90,92,Thetis,13 of 14,god,,,3,second part of dialogue,Iris,
637,24,104,119,Zeus,36 of 39,god,,,16,single speech,Thetis,
638,24,128,137,Thetis,14 of 14,god,,,10,first part of dialogue,Achilles,
639,24,139,140,Achilles,81 of 87,mortal,,,2,second part of dialogue,Thetis,
640,24,144,158,Zeus,38 of 39,god,,,15,single speech,Iris,
641,24,171,187,Iris,12 of 12,god,,,17,single speech,Priamus,
642,24,194,199,Priamus,10 of 25,mortal,,,6,first part of dialogue,Hecabe,
643,24,201,216,Hecabe,4 of 6,mortal,,,16,second part of dialogue,Priamus,
644,24,218,227,Priamus,11 of 25,mortal,,,10,third part of dialogue,Hecabe,
645,24,239,246,Priamus,12 of 25,mortal,,,8,single speech,Trojans,
646,24,253,264,Priamus,13 of 25,mortal,,,12,single speech,his sons,
647,24,287,298,Hecabe,5 of 6,mortal,,,12,first part of dialogue,Priamus,
648,24,300,301,Priamus,14 of 25,mortal,,,2,second part of dialogue,Hecabe,
649,24,308,313,Priamus,15 of 25,mortal,,,6,soliloquy,Zeus (prayer),
650,24,334,338,Zeus,39 of 39,god,,,5,single speech,Hermes,
651,24,354,357,Idaeus,4 of 4,mortal,,,4,single speech,Priamus,
652,24,362,371,Hermes,2 of 8,god,,young man,10,first part of dialogue,Priamus,
653,24,373,377,Priamus,16 of 25,mortal,,,5,second part of dialogue,Hermes,
654,24,379,385,Hermes,3 of 8,god,,young man,7,third part of dialogue,Priamus,
655,24,387,388,Priamus,17 of 25,mortal,,,2,fourth part of dialogue,Hermes,
656,24,390,404,Hermes,4 of 8,god,,young man,15,fifth part of dialogue,Priamus,
657,24,406,409,Priamus,18 of 25,mortal,,,4,sixth part of dialogue,Hermes,
658,24,411,423,Hermes,5 of 8,god,,young man,13,seventh part of dialogue,Priamus,
659,24,425,431,Priamus,19 of 25,mortal,,,7,eighth part of dialogue,Hermes,
660,24,433,439,Hermes,6 of 8,god,,young man,7,ninth part of dialogue,Priamus,
661,24,460,467,Hermes,7 of 8,god,,,8,single speech,Priamus,
662,24,486,506,Priamus,20 of 25,mortal,,,21,first part of dialogue,Achilles,
663,24,518,551,Achilles,82 of 87,mortal,,,34,second part of dialogue,Priamus,
664,24,553,558,Priamus,21 of 25,mortal,,,6,third part of dialogue,Achilles,
665,24,560,570,Achilles,83 of 87,mortal,,,11,fourth part of dialogue,Priamus,
666,24,592,595,Achilles,84 of 87,mortal,,,4,soliloquy,Patroclus,
667,24,599,620,Achilles,85 of 87,mortal,,,22,fifth part of dialogue,Priamus,
668,24,635,642,Priamus,22 of 25,mortal,,,8,sixth part of dialogue,Achilles,
669,24,650,658,Achilles,86 of 87,mortal,,,9,seventh part of dialogue,Priamus,
670,24,660,667,Priamus,23 of 25,mortal,,,8,eighth part of dialogue,Achilles,
671,24,669,670,Achilles,87 of 87,mortal,,,2,ninth part of dialogue,Priamus,
672,24,683,688,Hermes,8 of 8,god,,,6,single speech,Priamus,
673,24,704,706,Cassandra,1 of 1,mortal,,,3,single speech,Trojans,
674,24,716,717,Priamus,24 of 25,mortal,,,2,single speech,Trojans,
675,24,725,745,Andromache,4 of 4,mortal,,,21,soliloquy,Hector,
676,24,748,759,Hecabe,6 of 6,mortal,,,12,soliloquy,Hector,
677,24,762,775,Helena,7 of 7,mortal,,,14,soliloquy,Hector,
678,24,778,781,Priamus,25 of 25,mortal,,,4,single speech,Trojans,